party_id,country,abbrev,name,name_english,family
33230,Spain,NA,Más País-Equo,More Country - Equo,unknown
33320,Spain,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers’ Party,centre-left
33420,Spain,C's,Ciudadanos - Partido de la Ciudadania,Citizens - Party of the Citizens,unknown
33610,Spain,PP,Partido Popular,People's Party,centre-right
33710,Spain,VOX,Vox,Voice,far-right
33902,Spain,PNV/EAJ,Partido Nacionalista Vasco/Euzko Alderdi Jeltzalea,Basque Nationalist Party,centre-right
33905,Spain,ERC,Esquerra Republicana de Catalunya,Catalan Republican Left,centre-left
33907,Spain,CCa-PNC-NC,Coalición Canaria - Nueva Canarias,Canarian Coalition–New Canaries,centre
33908,Spain,BNG,Bloque Nacionalista Galego,Galician Nationalist Bloc,centre-left
33910,Spain,UPN,Unión del Pueblo Navarro,Navarrese People's Union,centre-right
33912,Spain,JxCat,Junts per Catalunya,Together for Catalonia,centre-left
33913,Spain,PRC,Partido Regionalista de Cantabria,Regionalist Party of Cantabria,centre
33914,Spain,NA,Més Compromís,More Commitment,centre-left
33915,Spain,CUP,Cadidatura d'Unitat Popular,Popular Unity Candidacy,far-left
33916,Spain,NA,¡Teruel Existe!,Teruel exists,unknown
34210,Greece,KKE,Kommounistikó Kómma Elládas,Communist Party of Greece,unknown
34212,Greece,SYRIZA,Synaspismós Rizospastikís Aristerás,Coalition of the Radical Left,far-left
34215,Greece,MeRA25,Μétopo Evropaikís Realistikís Anypakoís,European Realistic Disobedience Front,unknown
34315,Greece,PASOK-KINAL,PASOK – Kínima Allagís,PASOK – Movement for Change,unknown
34511,Greece,ND,Nea Dimokratia,New Democracy,centre-right
34711,Greece,EL,Ellinikí Lýsi,Greek Solution,far-right
34720,Greece,XA,Chrysi Avgi,Golden Dawn,far-right
35110,Portugal,PEV,Partido Ecologista ‘Os Verdes’,Ecologist Party ‘The Greens',green
35120,Portugal,PAN,Pessoas-Animais-Natureza,People-Animals-Nature,green
35130,Portugal,L,LIVRE,Free,green
35211,Portugal,BE,Bloco de Esquerda,Left Bloc,far-left
35220,Portugal,PCP,Partido Comunista Português,Portuguese Communist Party,far-left
35311,Portugal,PS,Partido Socialista,Socialist Party,centre-left
35313,Portugal,PSD,Partido Social Democrata,Social Democratic Party,centre-right
35410,Portugal,IL,Iniciativa Liberal,Liberal Iniciative,liberal
35520,Portugal,CDS-PP,Centro Democrático Social-Partido Popular,Social Democratic Center-Popular Party,centre-right
35720,Portugal,,Chega,Enough,far-right
41113,Germany,90/Greens,Bündnis‘90/Die Grünen,Alliance‘90/Greens,green
41223,Germany,LINKE,Die Linke,The Left,centre-right
41320,Germany,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,centre-left
41420,Germany,FDP,Freie Demokratische Partei,Free Democratic Party,liberal
41521,Germany,CDU/CSU,Christlich-Demokratische Union/Christlich-Soziale Union,Christian Democratic Union/Christian Social Union,unknown
41730,Germany,BSW,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,Sahra Wagenknecht Alliance – Reason and Justice,far-left
41912,Germany,SSW,Südschleswigscher Wählerverband - Sydslesvigsk Vælgerforening,South Schleswig Voters’ Union,other
41953,Germany,AfD,Alternative für Deutschland,Alternative for Germany,far-right
42110,Austria,GRÜNE,Die Grünen,The Greens,green
42320,Austria,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,centre-left
42420,Austria,FPÖ,Freiheitliche Partei Österreichs,Austrian Freedom Party,far-right
42430,Austria,NEOS,Das Neue Österreich und Liberales Forum,The New Austria and Liberal Forum,liberal
42520,Austria,ÖVP,Österreichische Volkspartei,Austrian People’s Party,centre-right
43020,Switzerland,EAG,Ensemble à Gauche,Together on the Left,unknown
43110,Switzerland,GPS/PES,Grüne Partei der Schweiz/Parti écologiste suisse,Green Party of Switzerland,green
43120,Switzerland,GLP,Grünliberale Partei der Schweiz,Green Liberal Party,liberal
43220,Switzerland,PdAS/PdTS,Partei der Arbeit der Schweiz/Parti suisse du travail,Swiss Labour Party,unknown
43320,Switzerland,SPS/PSS,Sozialdemokratische Partei der Schweiz/Parti socialiste suisse,Social Democratic Party of Switzerland,centre-left
43420,Switzerland,FDP/PLR,FDP.Die Liberalen/PLR.Les Libéraux-Radicaux,FDP.The Liberals,unknown
43520,Switzerland,CVP/PDC,Christlichdemokratische Volkspartei der Schweiz/Parti démocrate-chrétien suisse,Christian Democratic People’s Party of Switzerland,centre-right
43530,Switzerland,EVP/PEV,Evangelische Volkspartei der Schweiz/Parti Evangélique Suisse,Protestant People’s Party of Switzerland,unknown
43711,Switzerland,EDU/UDF,Eidgenössisch-Demokratische Union/Union Démocratique Fédérale,Federal Democratic Union,far-right
43810,Switzerland,SVP/UDC,Schweizerische Volkspartei/Union démocratique du centre,Swiss People’s Party,far-right
