partyfacts_id,hex
1954,#0099FF
1952,#0099FF
1957,#0099FF
5364,#009A3F
2019,#009A44
6220,#009BDF
685,#009CE2
6115,#009E60
1976,#009EE0
3131,#009F3C
4408,#009F3C
308,#009F4F
8264,#009F6B
8814,#00A0DF
2558,#00A100
2327,#00A1F1
455,#00A2E3
6856,#00A3E6
8826,#00A4DF
5610,#00A550
5127,#00A550
11,#00A550
6209,#00A550
2079,#00A550
1100,#00A550
5616,#00A550
5276,#00A550
2548,#00A594
8344,#00A651
8272,#00A693
4754,#00A6EF
4395,#00A8EC
2308,#00A94C
7166,#00A988
4743,#00A988
5790,#00AA00
1345,#00AAAA
5939,#00AAAA
6375,#00AAE4
7476,#00AB00
5354,#00AB00
3560,#00AB00
5331,#00AD06
677,#00AD8E
1114,#00ADDC
2485,#00ADEF
8640,#00ADEF
363,#00ADEF
2362,#00ADEF
45,#00AE41
1014,#00AEEF
2041,#00AEEF
432,#00AEF3
1109,#00B0EC
3673,#00B1F0
2490,#00B2B2
5969,#00B7FF
2094,#00BB00
2203,#00BB00
975,#00BBF0
1297,#00BFFF
1825,#00BFFF
5389,#00BFFF
4303,#00BFFF
5795,#00BFFF
7021,#00BFFF
5650,#00C000
399,#00CCCC
288,#00CCCC
737,#00CCCC
8695,#00CCCC
7595,#00CCFF
7409,#00CCFF
602,#00CD00
6757,#00CD00
1202,#00D7FF
1459,#00D7FF
7107,#00EE00
7996,#00FA9A
2215,#00FF00
2494,#00FF00
4532,#00FF00
2559,#00FF00
2385,#00FF00
4104,#00FF00
4638,#00FF00
5706,#00FF00
4070,#00FF00
5913,#00FF00
3805,#00FF00
2478,#00FF7F
8490,#00FFFF
1651,#00FFFF
5376,#00FFFF
6316,#00FFFF
3192,#0100A4
235,#013068
1491,#013068
8749,#013068
641,#013068
784,#013068
4635,#013068
571,#013068
447,#013068
425,#013068
1722,#013068
3122,#013068
1061,#013068
3132,#013068
555,#013068
3153,#013068
1560,#013068
219,#013068
3146,#013068
1786,#013068
1616,#013068
3123,#013068
3144,#013068
1417,#013068
1149,#013068
484,#013068
597,#013068
3152,#013068
770,#013068
1508,#013774
4422,#013D83
161,#013D83
557,#01447B
3678,#01447B
1036,#01447B
779,#014F9A
4464,#015CAB
528,#01796F
5216,#017B48
5217,#017B48
8940,#017B48
8928,#017B48
5361,#017B48
1259,#017BC4
7497,#018F6B
